Title,URL,Number of signatures,Over 100k signitures,Issues,Creator,Published date
★INDICT & ARREST Moon Jae-in for SMUGGLING the ChinaVirus into the US & ENDANGERING the national security of US & ROK!,https://petitions.whitehouse.gov/petition/indict-arrest-moon-jae-smuggling-chinavirus-us-endangering-national-security-us-rok,"801,697",True,"Foreign Policy, Health Care, Homeland Security & Defense",I.K.,"April 23, 2020"
"We Call For Investigations Into The ""Bill & Melinda Gates Foundation"" For Medical Malpractice & Crimes Against Humanity",https://petitions.whitehouse.gov/petition/we-call-investigations-bill-melinda-gates-foundation-medical-malpractice-crimes-against-humanity,"653,553",True,"Health Care, Homeland Security & Defense",C.S.,"April 10, 2020"
"Qatar's secret funding to America's Higher Learning Institutes for favorable ""image"" in the country",https://petitions.whitehouse.gov/petition/qatars-secret-funding-americas-higher-learning-institutes-favorable-image-country,"614,452",True,"Civil Rights & Equality, Education, Foreign Policy",T.F.,"February 24, 2020"
Terrorism To Get Upperhand If  Karman Has Representation In Social Media Regulatory Body,https://petitions.whitehouse.gov/petition/terrorism-get-upperhand-if-karman-has-representation-social-media-regulatory-body,"600,683",True,"Foreign Policy, Homeland Security & Defense",R.G.,"May 13, 2020"
Justice for Breonna Taylor,https://petitions.whitehouse.gov/petition/justice-breonna-taylor-5,"491,892",True,"Civil Rights & Equality, Criminal Justice Reform",L.H.,"July 27, 2020"
Justice For George Floyd,https://petitions.whitehouse.gov/petition/justice-george-floyd-0,"442,347",True,"Civil Rights & Equality, Criminal Justice Reform",J.P.,"May 29, 2020"
Impeach Nancy Pelosi for crimes of Treason!,https://petitions.whitehouse.gov/petition/impeach-nancy-pelosi-crimes-treason,"400,745",True,"Foreign Policy, Homeland Security & Defense, Immigration",M.G.,"January 18, 2019"
Divest or put in a blind trust all of the President's business and financial assets,https://petitions.whitehouse.gov/petition/divest-or-put-blind-trust-all-presidents-business-and-financial-assets,"374,736",True,Government & Regulatory Reform,H.B.,"January 20, 2017"
Please ask New York state to overturn recent abortion expansion laws.,https://petitions.whitehouse.gov/petition/please-ask-new-york-state-overturn-recent-abortion-expansion-laws,"323,600",True,"Civil Rights & Equality, Government & Regulatory Reform",A.S.,"January 23, 2019"
Repeal the NFA,https://petitions.whitehouse.gov/petition/repeal-nfa,"312,730",True,"Foreign Policy, Government & Regulatory Reform, Gun Violence",A.Z.,"January 20, 2017"
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,https://petitions.whitehouse.gov/petition/revoke-us-citizenship-and-visas-hong-kong-and-china-officials-who-are-support-extradition-bill,"300,148",True,"Civil Rights & Equality, Foreign Policy, Immigration",M.W.,"June 11, 2019"
Do Not Repeal Net Neutrality,https://petitions.whitehouse.gov/petition/do-not-repeal-net-neutrality,"286,072",True,"Government & Regulatory Reform, Technology & Innovation",A.L.,"November 22, 2017"
Allow F-1 students to stay in the US through the fall semester if instruction is online due to the pandemic,https://petitions.whitehouse.gov/petition/allow-f-1-students-stay-us-through-fall-semester-if-instruction-online-due-pandemic,"282,408",True,"Education, Foreign Policy, Immigration",D.V.,"July 06, 2020"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,https://petitions.whitehouse.gov/petition/declare-george-soros-terrorist-and-seize-all-his-related-organizations-assets-under-rico-and-ndaa-law,"270,202",True,"Criminal Justice Reform, Government & Regulatory Reform, Homeland Security & Defense",E.B.,"August 20, 2017"
Take actions on supporting Taiwan for joining WHO,https://petitions.whitehouse.gov/petition/take-actions-supporting-taiwan-joining-who,"239,349",True,"Civil Rights & Equality, Foreign Policy, Health Care",C.C.,"January 30, 2020"
US Government will punish China Government for the execution of Emergency Regulation Ordinance in Hong Kong.,https://petitions.whitehouse.gov/petition/us-government-will-punish-china-government-execution-emergency-regulation-ordinance-hong-kong,"235,728",True,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform",S.C.,"September 07, 2019"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,https://petitions.whitehouse.gov/petition/chineselivesmatters-calling-federal-investigation-united-airlines-incident-10th-april-2017,"215,320",True,Civil Rights & Equality,Z.Z.,"April 11, 2017"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,https://petitions.whitehouse.gov/petition/stop-landfill-henoko-oura-bay-until-referendum-can-be-held-okinawa,"212,498",True,"Energy & Environment, Foreign Policy, Veterans & Military",R.K.,"December 08, 2018"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas",https://petitions.whitehouse.gov/petition/make-junius-ho-kwan-yiu-and-his-immediate-family-members-ineligible-us-entry-citizenship-and-visas,"204,096",True,"Civil Rights & Equality, Foreign Policy, Immigration",B.T.,"July 21, 2019"
Allow International Students to Finish Their Degrees,https://petitions.whitehouse.gov/petition/allow-international-students-finish-their-degrees,"187,229",True,"Economy & Jobs, Education, Foreign Policy",A.S.,"July 06, 2020"
Find Missing US ARMY Soldier Vanessa Guillen,https://petitions.whitehouse.gov/petition/find-missing-us-army-soldier-vanessa-guillen-0,"182,587",True,"Civil Rights & Equality, Criminal Justice Reform, Veterans & Military",F.H.,"May 23, 2020"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,https://petitions.whitehouse.gov/petition/stop-qatar-yet-another-dubious-act-how-can-pro-terrorism-nation-mediate-between-united-states-and-iran,"177,348",True,"Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",Y.K.,"June 11, 2019"
Global Magnitsky Act for Pro-Beijing officials of the Hong Kong Executive Council,https://petitions.whitehouse.gov/petition/global-magnitsky-act-pro-beijing-officials-hong-kong-executive-council,"175,047",True,Foreign Policy,P.S.,"September 10, 2019"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,https://petitions.whitehouse.gov/petition/officially-recognize-hong-kong-police-force-hkpf-led-commissioner-stephen-lo-wai-chung-terrorist-organization,"171,184",True,"Foreign Policy, Gun Violence, Homeland Security & Defense",K.O.,"August 05, 2019"
Stop Donald Trump from signing the federal flavor ban of e-cig products.,https://petitions.whitehouse.gov/petition/stop-donald-trump-signing-federal-flavor-ban-e-cig-products,"167,528",True,"Budget & Taxes, Civil Rights & Equality",J.P.,"September 11, 2019"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government",https://petitions.whitehouse.gov/petition/yes-regime-change-iran-no-dialog-pro-terrorism-government,"166,473",True,Foreign Policy,A.J.,"June 19, 2018"
"RAISE THE DEGREE - Remove bail for Derek Chauvin, murderer of George Floyd",https://petitions.whitehouse.gov/petition/raise-degree-remove-bail-derek-chauvin-murderer-george-floyd,"155,021",True,Civil Rights & Equality,P.A.,"May 30, 2020"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.",https://petitions.whitehouse.gov/petition/deport-maria-gabriela-chavez-and-send-her-back-venezuela,"152,894",True,Foreign Policy,J.P.,"March 03, 2019"
"Hong Kong say NO to Carrie Lam's so-called ""concessions"", Continue Call the US to Pass HK Human Rights and Democracy Act",https://petitions.whitehouse.gov/petition/hong-kong-say-no-carrie-lams-so-called-concessions-continue-call-us-pass-hk-human-rights-and-democracy-act,"150,928",True,"Civil Rights & Equality, Foreign Policy",R.L.,"September 04, 2019"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,https://petitions.whitehouse.gov/petition/please-send-medical-army-hong-kong-hong-kong-under-humanitarian-disaster,"145,860",True,Foreign Policy,W.S.,"August 10, 2019"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,https://petitions.whitehouse.gov/petition/allow-cadet-peter-wang-receive-full-honors-military-burial,"145,599",True,Veterans & Military,C.K.,"February 16, 2018"
