Follower ID,Number_Tweets,Number_Followers,Type
1250997981131792384,156,887,Expert
1393451378,20,92,Layman
1173001281788497920,6,105,Expert
1295851329353650189,1,7,Layman
1149080272811544576,318,235,Expert
1160919123171381248,226,350,Expert
849311050105315328,6885,2479,Celebrity
97220894,6370,907,Expert
757646078820823040,347,114,Expert
272651520,2251,1169,Celebrity
897839762798784512,4,74,Layman
3004510880,279,115,Expert
1059124067083673601,1057,234,Expert
1672160996,4104,3698,Celebrity
844861249,7197,3704,Celebrity
1286026962474065922,19,62,Layman
384514927,106,548,Expert
1265369712474685441,118,34,Layman
2173185823,42,55,Layman
765925849480781824,14,243,Expert
3168096949,786,183,Expert
3315894962,400,109,Expert
822533787808579585,388,724,Expert
2931261005,67,110,Expert
38782129,500,236,Expert
893867053,112,237,Expert
1604077286,2160,261,Expert
1156335573558341634,264,93,Layman
51082150,3288,785,Expert
55483585,86,240,Expert
1373007391,229,130,Expert
1114308687261261824,694,501,Expert
206479660,5086,1731,Celebrity
985163459708030983,0,49,Layman
1159575806387138562,9,101,Expert
1016878876574846976,297,130,Expert
1152286116831223811,398,181,Expert
204145131,13757,4359,Celebrity
705755205,2250,337,Expert
1081650717398573061,7419,296,Expert
1034902358545903623,47,67,Layman
1222536781414969346,2305,163,Expert
3298520440,74,1,Layman
1260392032524218368,80,93,Layman
854501507181531136,407,798,Expert
1098664435563094017,48,53,Layman
735902647102935041,13645,1421,Celebrity
1161839308271210496,5,4,Layman
1075366532,58,612,Expert
123555441,2882,467,Expert
1852171094,6480,14087,Celebrity
1186699745781342208,967,53,Layman
1183488322544586754,14,3,Layman
925097763372593152,128,146,Expert
212086368,469,96,Layman
72275942,13038,1045,Celebrity
227327270,80,47,Layman
568850097,13512,861,Expert
1240621124733599744,0,562,Expert
1185955112751157249,629,64,Layman
713996965017554944,123,312,Expert
939263839941677057,128,533,Expert
1934099412,32,114,Expert
1244257375495892992,18,2,Layman
1242840530804973568,239,177,Expert
18745933,3590,850,Expert
1073796931078504448,59,107,Expert
745338854727622660,173,47,Layman
114934386,16,37,Layman
1212440352751120384,324,264,Expert
65461233,790,803,Expert
1442600150,426,1006,Celebrity
470460510,5329,624,Expert
58560157,235,362,Expert
283167130,138,110,Expert
75316454,40954,10978,Celebrity
1042029186087616512,102,326,Expert
17187138,354,605,Expert
14922497,277,100,Layman
21594537,723,694,Expert
62852295,74,0,Layman
887221292,86,46,Layman
1198992038521229312,273,307,Expert
2388178138,705,820,Expert
810933338,109731,1439,Celebrity
1218270345259601920,66,53,Layman
304491899,2844,367,Expert
1101214968219869192,1129,67,Layman
1028477517173338113,6514,117,Expert
1177025124928614401,83,47,Layman
9764132,2498,828,Expert
1186127018926186496,96,144,Expert
91419075,21413,288,Expert
844088202,7,4,Layman
225242731,4290,1146,Celebrity
988170951622832137,3353,506,Expert
1034076927819112449,1,0,Layman
58249803,4,10,Layman
274654408,1560,694,Expert
1475891815,8298,610,Expert
2361098340,229,124,Expert
120881369,3145,381,Expert
2490029959,435,320,Expert
