Friends ID,Number_Tweets,Number_Followers,Type
2419705380,1990,3708,Celebrity
17187138,354,605,Expert
364615460,196,2806,Celebrity
28116356,121,384,Expert
939263839941677057,128,533,Expert
579174016,3674,1145,Celebrity
765930764500398080,3105,221,Expert
1098681399291330560,905,1098,Celebrity
2443070556,4428,4575,Celebrity
1044010382162087939,608,432,Expert
1954980811,498,382,Expert
788467373934309381,628,412,Expert
921690530,456,1848,Celebrity
35773039,186438,2016513,Celebrity
368681101,9408,1965,Celebrity
452828175,4105,1972,Celebrity
263479789,1241,363,Expert
164546388,8,60,Layman
370474938,418,91,Layman
2745459493,59,148,Expert
22857061,126,182,Expert
46418313,3854,206,Expert
61245063,2911,2710,Celebrity
700189184,17108,1422,Celebrity
1733128674,1008,512,Expert
580070262,306,967,Expert
1075366532,58,612,Expert
15420927,46,188,Expert
4059962960,785,937,Expert
2612797260,816,212,Expert
3314329218,1489,650,Expert
3192411776,1149,733,Expert
1704646470,81355,25860,Celebrity
2285368813,526,239,Expert
17650690,1249,478,Expert
2932897695,72,68,Layman
1536791610,352,14693481,Celebrity
822215679726100480,10642,31277542,Celebrity
2572033740,69956,1243,Celebrity
1250554160,54,72,Layman
2997261583,859,412,Expert
1064533471,12577,719,Expert
353511354,90,95,Layman
467536020,6638,686,Expert
764260766,1445,30,Layman
56245303,1574,1087,Celebrity
3038216124,3630,1514,Celebrity
1558597950,192,50,Layman
2888393596,550,1271,Celebrity
94346957,623,493,Expert
2567756700,64,308,Expert
2165983896,1080,596,Expert
36717751,2,192,Expert
42955564,1566,1318,Celebrity
1601592757,1026,603,Expert
7054502,9458,11048,Celebrity
267841234,9220,15543,Celebrity
223170394,6975,10803,Celebrity
24426255,57,66,Layman
125152626,1155,521,Expert
48028479,519,1033,Celebrity
507846696,7600,12839,Celebrity
17448965,56500,122561,Celebrity
14677919,112497,8926040,Celebrity
2242536402,2071,859,Expert
14426806,626,3506,Celebrity
39284667,21368,12473,Celebrity
377177381,39,166,Expert
14293310,355452,17394180,Celebrity
158994904,77,191,Expert
777485077,689,144,Expert
382468372,7652,1076,Celebrity
51241574,273281,14409274,Celebrity
2467791,369125,16289703,Celebrity
29295002,10847,69518,Celebrity
807095,406772,47259693,Celebrity
55295275,9201,11206,Celebrity
38673058,7440,32412,Celebrity
18256748,307,3061,Celebrity
19405351,7869,5225,Celebrity
18727958,3913,45208,Celebrity
22194661,199,774,Expert
21246323,3432,4834,Celebrity
23105896,97,456,Expert
20830220,1403,1825,Celebrity
71046446,375,605,Expert
76106408,923,690,Expert
32156691,305,199,Expert
432662240,9928,2498,Celebrity
815535570,608,360,Expert
20752758,9476,6187,Celebrity
547001905,394,1812,Celebrity
18391232,3744,3026,Celebrity
409450462,5677,30262,Celebrity
712611259,5,72,Layman
13872282,26360,21038,Celebrity
344871208,8742,9933,Celebrity
277072979,779,984,Expert
1022371699,778,540,Expert
1360356614,7762,2542,Celebrity
389848770,7782,4453,Celebrity
62861160,5263,89158,Celebrity
1142998118,629,762,Expert
26076536,11693,48772,Celebrity
22333510,12361,26377,Celebrity
2250261,240,1591,Celebrity
34633479,10604,36956,Celebrity
14462885,9288,26264,Celebrity
1732347110,18,64,Layman
1658194106,39,49,Layman
205397000,2759,2146,Celebrity
1143248114,603,411,Expert
17259136,5317,675,Expert
2332084886,213,206,Expert
1883504564,35,163,Expert
355579635,4827,12054,Celebrity
23630483,9051,30052,Celebrity
1337658938,343,44,Layman
1979372431,42,142,Expert
2352355284,197,59,Layman
2305352786,21,82,Layman
2474523168,1,41,Layman
1344865038,3,352,Expert
2647189844,16,57,Layman
2734848864,1073,622,Expert
167839057,369,366,Expert
1330163316,1603,4656,Celebrity
259363858,7358,4674,Celebrity
356261120,5121,3435,Celebrity
551138610,1386,903,Expert
7402662,63861,482364,Celebrity
9855382,13372,546610,Celebrity
73181712,11931,1855216,Celebrity
9624742,66341,5943623,Celebrity
66369181,30116,6207749,Celebrity
14159148,75703,12840951,Celebrity
30313925,28329,12755292,Celebrity
822215673812119553,21590,24646047,Celebrity
441238191,2643,332,Expert
187934274,151,291,Expert
45654015,793,492,Expert
1667860657,5657,2427,Celebrity
25333387,622,581,Expert
481584134,1895,537,Expert
471609060,3728,1377,Celebrity
27779882,8619,18795,Celebrity
233634176,1324,1323,Celebrity
1128945624,8365,3134,Celebrity
59200912,23317,6896,Celebrity
46422258,4293,1906,Celebrity
151167947,1828,792,Expert
309297097,1356,557,Expert
83899964,13252,10794,Celebrity
15782087,2448,3764,Celebrity
18202147,2074,2276,Celebrity
17815224,11593,37769,Celebrity
6039302,169457,259240,Celebrity
813286,15920,122366651,Celebrity
