ID,Number_Tweets,Number_Followers,Type
1250997981131792384,156,882,Expert
1393451378,20,93,Layman
1173001281788497920,6,106,Expert
1295851329353650189,1,7,Layman
1149080272811544576,316,235,Expert
1160919123171381248,226,345,Expert
849311050105315328,6856,2475,Layman
97220894,6363,907,Expert
757646078820823040,347,114,Expert
272651520,2247,1167,Layman
897839762798784512,4,73,Layman
3004510880,279,115,Expert
1059124067083673601,1053,232,Expert
1672160996,4097,3699,Layman
844861249,7197,3703,Layman
1286026962474065922,19,62,Layman
384514927,104,547,Expert
1265369712474685441,118,34,Layman
2173185823,42,55,Layman
765925849480781824,14,222,Expert
3168096949,822,183,Expert
3315894962,400,110,Expert
822533787808579585,380,725,Expert
2931261005,66,110,Expert
38782129,497,231,Expert
893867053,109,236,Expert
1604077286,2160,261,Expert
1156335573558341634,261,93,Layman
51082150,3285,781,Expert
55483585,84,240,Expert
1373007391,228,130,Expert
1114308687261261824,691,500,Expert
206479660,5083,1732,Layman
985163459708030983,0,48,Layman
1159575806387138562,8,101,Expert
1016878876574846976,296,128,Expert
1152286116831223811,397,179,Expert
204145131,13748,4357,Layman
705755205,2250,335,Expert
1081650717398573061,7419,296,Expert
1034902358545903623,45,67,Layman
1222536781414969346,2300,161,Expert
3298520440,74,1,Layman
1260392032524218368,80,93,Layman
854501507181531136,407,796,Expert
1098664435563094017,48,53,Layman
735902647102935041,13646,1421,Layman
1161839308271210496,5,4,Layman
1075366532,58,613,Expert
123555441,2879,467,Expert
1852171094,6480,14087,Layman
1186699745781342208,967,53,Layman
1183488322544586754,14,3,Layman
925097763372593152,128,145,Expert
212086368,469,96,Layman
72275942,13037,1044,Layman
227327270,80,47,Layman
568850097,13512,861,Expert
1240621124733599744,0,562,Expert
1185955112751157249,629,65,Layman
713996965017554944,122,313,Expert
939263839941677057,128,532,Expert
1934099412,32,113,Expert
1244257375495892992,18,2,Layman
1242840530804973568,228,175,Expert
18745933,3590,845,Expert
1073796931078504448,59,106,Expert
745338854727622660,173,46,Layman
114934386,15,37,Layman
1212440352751120384,324,262,Expert
65461233,787,804,Expert
1442600150,425,1005,Layman
470460510,5326,625,Expert
58560157,234,362,Expert
283167130,138,110,Expert
75316454,40952,10976,Layman
1042029186087616512,102,324,Expert
17187138,352,604,Expert
14922497,275,100,Layman
21594537,720,693,Expert
62852295,74,0,Layman
887221292,86,46,Layman
1198992038521229312,271,306,Expert
2388178138,705,820,Expert
810933338,109675,1439,Layman
1218270345259601920,66,53,Layman
304491899,2844,367,Expert
1101214968219869192,1129,66,Layman
1028477517173338113,6451,117,Expert
1177025124928614401,83,47,Layman
9764132,2494,829,Expert
1186127018926186496,96,143,Expert
91419075,21409,288,Expert
844088202,7,4,Layman
225242731,4290,1144,Layman
988170951622832137,3351,503,Expert
1034076927819112449,1,0,Layman
58249803,4,10,Layman
274654408,1560,694,Expert
1475891815,8296,609,Expert
2361098340,229,124,Expert
120881369,3144,381,Expert
2490029959,435,319,Expert
3295794970,91,82,Layman
1096192176458006528,770,427,Expert
808144358860029952,1744,471,Expert
2364474445,2215,162,Expert
2525525071,1392,439,Expert
712811563577507840,3101,219,Expert
18813365,4906,896,Expert
1449142848,1273,622,Expert
926750479530393600,1218,27,Layman
21396392,425,348,Expert
1150953546818437120,11,86,Layman
